person_couple,conversation,name1,name2,explaination,toxic
null,Chiara      Ciao Luca! Hai finito il report per la riunione di domani?      Luca      Quasi Chiara mi mancano solo le conclusioni. Tu a che punto sei?      Chiara      Ho appena terminato. Se vuoi ti posso mandare la mia parte così la integri.      Luca      Sarebbe fantastico grazie mille! Ti offro un caffè appena finiamo.      Chiara      Affare fatto! Te la invio subito sulla mail aziendale.      Luca      Perfetto la scarico e completo il documento. Sei stata un grande aiuto.,Chiara,Luca,Due colleghi collaborano per completare un report di lavoro,No
null,Marco      Elena hai visto che bella giornata oggi? Perfetta per una passeggiata.      Elena      Verissimo Marco! Che ne dici di andare al parco dopo pranzo?      Marco      Ottima idea. Possiamo portare anche il cane così corre un po'.      Elena      Certo si divertirà un mondo. Preparo la sua palla preferita.      Marco      Magnifico. Allora ci vediamo alle tre davanti al cancello principale?      Elena      Sì a più tardi Marco! Non vedo l'ora.,Marco,Elena,Due amici si organizzano per una passeggiata al parco,No
null,Sofia      Ciao Andrea come sta andando il corso di chitarra?      Andrea      Ciao Sofia! Procede bene sto imparando un nuovo accordo anche se è un po' difficile.      Sofia      Quale? Magari lo conosco e posso darti un consiglio.      Andrea      È il Fa maggiore in barrè. Le dita non vogliono collaborare!      Sofia      Ah quello è un classico ostacolo. Prova a esercitarti solo sulla posizione senza suonare vedrai che aiuta.      Andrea      Grazie del suggerimento ci proverò subito! Spero di riuscirci presto.,Sofia,Andrea,Un'amica dà un consiglio a un amico che sta imparando a suonare la chitarra,No
null,Matteo      Mamma cosa prepariamo per cena stasera? Ho una fame da lupi.      Laura      Ciao tesoro. Pensavo a una pasta con il pesto che ho fatto ieri. Ti va?      Matteo      Sì! Adoro il tuo pesto. Posso aiutarti in qualche modo?      Laura      Certo potresti apparecchiare la tavola per favore? Io metto a bollire l'acqua.      Matteo      Subito! Metto anche i bicchieri belli?      Laura      Sì facciamo una cena elegante stasera.      Matteo      Perfetto! La tavola è quasi pronta.,Matteo,Laura,Un figlio e sua madre si organizzano per preparare la cena,No
null,Simone      Paola hai letto l'ultimo libro di cui ti parlavo?      Paola      Non ancora Simone l'ho iniziato ieri sera ma mi sta già prendendo moltissimo.      Simone      Te l'avevo detto! La trama è davvero avvincente non riuscirai a smettere.      Paola      Immagino. Sono arrivata al punto in cui scoprono il primo indizio.      Simone      Ah sei solo all'inizio. Il bello deve ancora venire! Non ti anticipo nulla.      Paola      Grazie! Appena lo finisco ne parliamo meglio.      Simone      D'accordo aspetto la tua recensione.,Simone,Paola,Due amici discutono di un libro che uno dei due ha consigliato all'altro,No
null,Davide      Ciao Francesca! Come è andato il colloquio di lavoro?      Francesca      Ciao Davide! Penso bene mi sono sentita a mio agio e le domande erano pertinenti.      Davide      Sono felicissimo per te! Quando ti faranno sapere qualcosa?      Francesca      Hanno detto entro la fine della settimana. Incrocio le dita!      Davide      Incrocio tutto anche io! Te lo meriti davvero.      Francesca      Grazie mille per il supporto Davide significa molto per me.,Davide,Francesca,Un amico chiede a un'amica come è andato il suo colloquio di lavoro,No
null,Alessandro      Valentina mi daresti una mano con questo mobile? Non riesco a montare l'ultimo pezzo.      Valentina      Certo Alessandro fammi vedere le istruzioni. Forse abbiamo saltato un passaggio.      Alessandro      Hai ragione guarda qui. Questo pezzo andava inserito prima di avvitare la base.      Valentina      Ecco l'errore. Svitiamo un attimo e sistemiamo subito.      Alessandro      Ok fatto. Adesso dovrebbe andare. Grazie per l'aiuto sei un genio!      Valentina      Figurati! Lavorare in due è sempre meglio.      Alessandro      Assolutamente. Ora sì che è perfetto!,Alessandro,Valentina,Due persone collaborano per montare un mobile seguendo le istruzioni,No
null,Francesco      Martina hai notizie di Sara? È da un po' che non la sento.      Martina      Sì l'ho sentita ieri. Sta bene è solo molto impegnata con l'università.      Francesco      Ah meno male mi stavo preoccupando. Salutamela tanto quando la senti.      Martina      Certo le dirò che hai chiesto di lei. Anzi perché non organizziamo una pizza tutti insieme la prossima settimana?      Francesco      Sarebbe bellissimo! Chiedile quando è libera e ci organizziamo.      Martina      Perfetto le scrivo subito un messaggio. Ti tengo aggiornato.,Francesco,Martina,Due amici si informano su un'amica in comune e decidono di organizzare un'uscita,No
null,Lorenzo      Ciao Elisa come procedono i preparativi per il tuo viaggio in Giappone?      Elisa      Ciao Lorenzo! Bene ho quasi finito la valigia. Non vedo l'ora di partire!      Lorenzo      Che invidia! Hai già un itinerario di massima?      Elisa      Sì pensavo di fare Tokyo Kyoto e poi una piccola escursione sul Monte Fuji.      Lorenzo      Sembra un piano perfetto. Ricordati di fare tante foto!      Elisa      Assolutamente! Te ne manderò qualcuna in tempo reale.      Lorenzo      Fantastico! Allora buon viaggio e divertiti tantissimo.,Lorenzo,Elisa,Un amico si informa sui preparativi di viaggio di un'amica,No
null,Gabriele      Silvia questo tiramisù è la fine del mondo! Mi devi dare la ricetta.      Silvia      Grazie Gabriele! Certo te la scrivo volentieri. Il segreto è usare mascarpone di ottima qualità.      Gabriele      Lo immaginavo. E per i savoiardi li bagni tanto nel caffè?      Silvia      Solo un'immersione veloce altrimenti si sfaldano troppo. E il caffè deve essere amaro mi raccomando.      Gabriele      Capito. Proverò a farlo nel weekend. Speriamo venga buono come il tuo.      Silvia      Vedrai che sarà un successo. Se hai dubbi chiamami pure.      Gabriele      Grazie sei gentilissima!,Gabriele,Silvia,Un amico chiede la ricetta di un dolce a un'amica che lo ha preparato,No
